Product_ID,Product_Name,Category,Supplier,Total_Units_Sold,Total_Revenue,Avg_Unit_Price,Avg_Lead_Time_Days,Demand_Std_Daily_Proxy,Avg_Daily_Demand,Demand_Std_Daily,Annual_Demand,Holding_Cost_Per_Unit,EOQ,Safety_Stock,Reorder_Point,Cumulative_Revenue_Pct,ABC_Class,Current_Inventory,Inventory_Turnover,Days_of_Inventory,Inventory_Health,Reorder_Alert
SKU1005,Electronics_Item_6,Electronics,Supplier_B,1593,35724778.12,23473.03,10.0,1.84,2.91,1.84,1062.97,2347.3,30,10,39,10.1,A,75,14.17,25.8,Optimal,False
SKU1003,Electronics_Item_4,Electronics,Supplier_D,1547,31827890.16,21674.48,7.0,1.88,2.83,1.88,1032.28,2167.45,31,8,28,19.1,A,87,11.87,30.7,Overstock,False
SKU1001,Electronics_Item_2,Electronics,Supplier_A,1561,29167899.32,19525.32,5.05,1.86,2.85,1.86,1041.62,1952.53,33,7,21,27.34,A,49,21.26,17.2,Optimal,False
SKU1007,Electronics_Item_8,Electronics,Supplier_D,1620,20523951.2,13190.2,3.08,1.83,2.96,1.83,1080.99,1319.02,40,5,14,33.15,A,72,15.01,24.3,Optimal,False
SKU1032,Grocery_Item_3,Grocery,Supplier_A,6349,16713297.71,2757.64,9.92,7.23,11.61,7.23,4236.54,275.76,175,38,153,37.87,A,425,9.97,36.6,Overstock,False
SKU1036,Grocery_Item_7,Grocery,Supplier_C,5863,16376700.02,2919.38,3.06,6.78,10.72,6.78,3912.24,291.94,164,20,53,42.5,A,393,9.95,36.7,Overstock,False
SKU1031,Grocery_Item_2,Grocery,Supplier_B,6092,16171863.65,2789.96,3.17,7.03,11.14,7.03,4065.05,279.0,171,21,56,47.07,A,134,30.34,12.0,Optimal,False
SKU1030,Grocery_Item_1,Grocery,Supplier_C,6381,14651959.8,2402.0,13.77,7.58,11.67,7.58,4257.89,240.2,188,46,207,51.22,A,171,24.9,14.7,Understock - Reorder Needed,True
SKU1000,Electronics_Item_1,Electronics,Supplier_A,1594,14367087.69,9457.32,7.0,1.91,2.91,1.91,1063.64,945.73,47,8,28,55.28,A,28,37.99,9.6,Optimal,False
SKU1034,Grocery_Item_5,Grocery,Supplier_D,6299,13484293.42,2229.38,7.0,7.1,11.52,7.1,4203.17,222.94,194,31,112,59.09,A,255,16.48,22.1,Optimal,False
SKU1037,Grocery_Item_8,Grocery,Supplier_C,5713,12067658.72,2206.93,7.0,6.89,10.44,6.89,3812.15,220.69,186,30,103,62.5,A,94,40.55,9.0,Understock - Reorder Needed,True
SKU1008,Electronics_Item_9,Electronics,Supplier_C,1578,11186933.37,7387.04,5.08,1.74,2.88,1.74,1052.96,738.7,53,6,21,65.67,A,65,16.2,22.5,Optimal,False
SKU1035,Grocery_Item_6,Grocery,Supplier_C,6587,10981643.86,1749.54,13.91,7.35,12.04,7.35,4395.35,174.95,224,45,212,68.77,A,346,12.7,28.7,Optimal,False
SKU1038,Grocery_Item_9,Grocery,Supplier_C,6234,9820251.41,1639.79,5.06,6.97,11.4,6.97,4159.8,163.98,225,26,84,71.55,B,193,21.55,16.9,Optimal,False
SKU1017,Fashion_Item_8,Fashion,Supplier_D,3315,8674775.62,2741.56,5.07,4.19,6.06,4.19,2212.02,274.16,127,16,47,74.0,B,180,12.29,29.7,Optimal,False
SKU1013,Fashion_Item_4,Fashion,Supplier_B,3112,8376480.39,2835.28,5.1,3.67,5.69,3.67,2076.56,283.53,121,14,43,76.37,B,153,13.57,26.9,Optimal,False
SKU1006,Electronics_Item_7,Electronics,Supplier_D,1531,6846498.06,4707.6,5.04,1.99,2.8,1.99,1021.6,470.76,66,7,21,78.3,B,25,40.86,8.9,Optimal,False
SKU1033,Grocery_Item_4,Grocery,Supplier_D,6439,6711169.78,1093.06,13.89,7.1,11.77,7.1,4296.59,109.31,280,44,207,80.2,B,305,14.09,25.9,Optimal,False
SKU1018,Fashion_Item_9,Fashion,Supplier_B,3247,6316299.89,2038.19,5.1,3.62,5.94,3.62,2166.65,203.82,146,13,43,81.99,B,97,22.34,16.3,Optimal,False
SKU1021,Home_Item_2,Home & Kitchen,Supplier_B,2413,6181165.2,2700.26,10.0,3.21,4.41,3.21,1610.14,270.03,109,17,61,83.73,B,94,17.13,21.3,Optimal,False
SKU1002,Electronics_Item_3,Electronics,Supplier_C,1553,5985534.03,4026.46,7.0,1.84,2.84,1.84,1036.28,402.65,72,8,28,85.43,B,48,21.59,16.9,Optimal,False
SKU1020,Home_Item_1,Home & Kitchen,Supplier_B,2549,5753564.11,2359.13,5.09,2.96,4.66,2.96,1700.89,235.91,120,11,35,87.05,B,141,12.06,30.3,Optimal,False
SKU1019,Fashion_Item_10,Fashion,Supplier_A,3361,5677462.04,1767.95,5.05,3.86,6.14,3.86,2242.71,176.8,159,14,45,88.66,B,136,16.49,22.1,Optimal,False
SKU1012,Fashion_Item_3,Fashion,Supplier_B,3517,4819118.33,1433.92,10.0,3.89,6.43,3.89,2346.81,143.39,181,20,84,90.02,C,84,27.94,13.1,Optimal,False
SKU1025,Home_Item_6,Home & Kitchen,Supplier_A,2478,4451206.24,1880.05,3.06,2.77,4.53,2.77,1653.51,188.0,133,8,22,91.28,C,115,14.38,25.4,Optimal,False
SKU1024,Home_Item_5,Home & Kitchen,Supplier_A,2448,4245181.45,1822.24,9.97,3.05,4.48,3.05,1633.49,182.22,134,16,61,92.48,C,148,11.04,33.1,Optimal,False
SKU1014,Fashion_Item_5,Fashion,Supplier_B,3353,3988484.86,1248.44,13.95,3.74,6.13,3.74,2237.38,124.84,189,23,108,93.61,C,109,20.53,17.8,Optimal,False
SKU1010,Fashion_Item_1,Fashion,Supplier_D,3210,3787982.05,1240.02,3.12,3.88,5.87,3.88,2141.96,124.0,186,11,29,94.68,C,89,24.07,15.2,Optimal,False
SKU1023,Home_Item_4,Home & Kitchen,Supplier_B,2434,2913594.33,1257.73,13.88,3.08,4.45,3.08,1624.15,125.77,161,19,81,95.5,C,91,17.85,20.4,Optimal,False
