Product_ID,Current_Inventory,Reorder_Point,Safety_Stock,EOQ,ABC_Class,Inventory_Health
SKU1005,75,39,10,30,A,Optimal
SKU1003,87,28,8,31,A,Overstock
SKU1001,49,21,7,33,A,Optimal
SKU1007,72,14,5,40,A,Optimal
SKU1032,425,153,38,175,A,Overstock
SKU1036,393,53,20,164,A,Overstock
SKU1031,134,56,21,171,A,Optimal
SKU1030,171,207,46,188,A,Understock - Reorder Needed
SKU1000,28,28,8,47,A,Optimal
SKU1034,255,112,31,194,A,Optimal
SKU1037,94,103,30,186,A,Understock - Reorder Needed
SKU1008,65,21,6,53,A,Optimal
SKU1035,346,212,45,224,A,Optimal
SKU1038,193,84,26,225,B,Optimal
SKU1017,180,47,16,127,B,Optimal
SKU1013,153,43,14,121,B,Optimal
SKU1006,25,21,7,66,B,Optimal
SKU1033,305,207,44,280,B,Optimal
SKU1018,97,43,13,146,B,Optimal
SKU1021,94,61,17,109,B,Optimal
SKU1002,48,28,8,72,B,Optimal
SKU1020,141,35,11,120,B,Optimal
SKU1019,136,45,14,159,B,Optimal
SKU1012,84,84,20,181,C,Optimal
SKU1025,115,22,8,133,C,Optimal
SKU1024,148,61,16,134,C,Optimal
SKU1014,109,108,23,189,C,Optimal
SKU1010,89,29,11,186,C,Optimal
SKU1023,91,81,19,161,C,Optimal
SKU1015,224,80,21,231,C,Optimal
SKU1026,164,22,9,175,C,Optimal
SKU1009,78,28,9,121,C,Optimal
SKU1029,178,47,13,222,C,Optimal
SKU1028,156,45,14,213,C,Optimal
SKU1016,126,61,17,303,C,Optimal
SKU1039,133,116,31,630,C,Optimal
SKU1004,87,40,10,183,C,Optimal
SKU1011,139,99,24,373,C,Optimal
SKU1022,91,83,19,348,C,Optimal
SKU1027,68,22,8,410,C,Optimal
